CohortMonth,0,1,2,3,4,5,6,7,8,9,10,11,12
2010-12,100.0,36.5,31.9,37.7,36.3,40.1,36.2,34.4,34.7,39.2,37.2,50.5,26.3
2011-01,100.0,22.1,27.5,22.6,31.9,29.0,25.3,24.6,30.4,33.1,36.3,11.9,
2011-02,100.0,18.4,18.7,27.8,27.0,24.3,24.9,27.0,24.9,31.0,6.7,,
2011-03,100.0,14.6,24.6,20.2,22.4,16.6,26.4,23.1,27.5,8.4,,,
2011-04,100.0,21.4,20.7,20.7,19.0,23.1,22.0,26.1,7.5,,,,
2011-05,100.0,19.6,17.1,17.4,21.0,23.1,26.7,9.3,,,,,
2011-06,100.0,17.1,15.8,26.7,22.5,32.5,9.6,,,,,,
2011-07,100.0,18.4,21.6,23.2,27.4,11.6,,,,,,,
2011-08,100.0,18.8,24.7,24.1,12.9,,,,,,,,
2011-09,100.0,23.6,30.3,11.4,,,,,,,,,
2011-10,100.0,23.7,11.6,,,,,,,,,,
2011-11,100.0,11.2,,,,,,,,,,,
2011-12,100.0,,,,,,,,,,,,
