CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment
12347,2,7,4060.4,4,4,4,Champions
12348,75,4,1186.68,2,3,3,Potential Loyalists
12349,19,1,1353.8,3,1,3,New Customers
12350,310,1,294.40000000000003,1,1,2,Lost
12352,36,7,1385.74,3,4,3,Champions
12353,204,1,89.0,1,1,1,Lost
12354,232,1,1028.55,1,1,3,Lost
12355,214,1,459.40000000000003,1,1,2,Lost
12356,23,3,2487.43,3,3,4,Champions
12357,33,1,6182.67,3,1,4,New Customers
12358,2,2,928.0600000000001,4,2,3,New Customers
12359,58,4,4754.78,2,3,4,Potential Loyalists
12360,52,3,2200.36,2,3,4,Potential Loyalists
12361,287,1,174.9,1,1,1,Lost
12362,3,10,4524.78,4,4,4,Champions
12363,110,2,552.0,2,2,2,Potential Loyalists
12364,8,3,1143.3,4,3,3,Champions
12365,291,1,320.69,1,1,2,Lost
12367,4,1,150.9,4,1,1,New Customers
12370,51,4,3300.98,3,3,4,Champions
12371,60,1,1527.96,2,1,3,Potential Loyalists
12372,72,3,1196.04,2,3,3,Potential Loyalists
12373,311,1,324.6,1,1,2,Lost
12374,25,1,589.03,3,1,2,New Customers
12375,11,2,377.5,4,2,2,New Customers
12377,315,2,1548.1200000000001,1,2,4,Potential Loyalists
12378,130,1,3899.29,2,1,4,Potential Loyalists
12379,82,2,777.24,2,2,3,Potential Loyalists
12380,22,4,2278.11,3,3,4,Champions
12381,5,5,1485.31,4,3,3,Champions
12383,185,5,1576.72,1,3,4,Cannot Lose Them
12384,29,2,425.27000000000004,3,2,2,New Customers
12386,338,2,401.9,1,2,2,Potential Loyalists
12388,16,6,2780.6600000000003,4,4,4,Champions
12390,80,1,470.94,2,1,2,Potential Loyalists
12391,22,1,422.71,3,1,2,New Customers
12393,72,4,1582.6000000000001,2,3,4,Potential Loyalists
12394,64,2,629.9200000000001,2,2,2,Potential Loyalists
12395,19,12,2642.68,3,4,4,Champions
12397,36,2,2096.25,3,2,4,New Customers
12398,46,1,1435.66,3,1,3,New Customers
12399,119,4,1033.65,2,3,3,Potential Loyalists
12401,303,1,69.3,1,1,1,Lost
12402,323,1,195.6,1,1,1,Lost
12403,50,1,391.7,3,1,2,New Customers
12405,149,1,1390.39,1,1,3,Lost
12406,22,2,3415.3,3,2,4,New Customers
12407,50,5,1420.08,3,3,3,Champions
12408,33,5,2516.85,3,3,4,Champions
12409,79,3,10950.27,2,3,4,Potential Loyalists
12410,309,2,533.33,1,2,2,Potential Loyalists
12412,75,3,1142.88,2,3,3,Potential Loyalists
12413,67,3,656.15,2,3,3,Potential Loyalists
12414,217,3,442.41,1,3,2,At Risk
12415,25,15,67004.37,3,4,4,Champions
12417,3,9,3074.5,4,4,4,Champions
12418,113,1,668.58,2,1,3,Potential Loyalists
12420,64,1,566.49,2,1,2,Potential Loyalists
12421,16,4,639.04,4,3,3,Champions
12422,96,3,683.5600000000001,2,3,3,Potential Loyalists
12423,1,8,1600.41,4,4,4,Champions
12424,163,2,1608.32,1,2,4,Potential Loyalists
12425,78,1,777.2,2,1,3,Potential Loyalists
12426,195,1,493.78000000000003,1,1,2,Lost
12427,22,3,639.32,3,3,3,Champions
12428,26,8,6371.36,3,4,4,Champions
12429,9,4,3388.4,4,3,4,Champions
12430,43,1,216.4,3,1,1,New Customers
12431,60,14,5070.16,2,4,4,Potential Loyalists
12432,43,4,4089.52,3,3,4,Champions
12433,1,7,12856.51,4,4,4,Champions
12434,85,2,806.14,2,2,3,Potential Loyalists
12435,80,2,7120.450000000001,2,2,4,Potential Loyalists
12436,100,1,429.01,2,1,2,Potential Loyalists
12437,2,18,4447.41,4,4,4,Champions
12438,14,2,2466.85,4,2,4,New Customers
12441,367,1,155.55,1,1,1,Lost
12442,3,1,144.06,4,1,1,New Customers
12444,21,5,3647.61,3,3,4,Champions
12445,22,1,77.4,3,1,1,New Customers
12446,58,1,1002.3100000000001,2,1,3,Potential Loyalists
12447,243,1,431.49,1,1,2,Lost
12448,44,1,300.45,3,1,2,New Customers
12449,22,4,3596.29,3,3,4,Champions
12450,156,2,197.88,1,2,1,Potential Loyalists
12451,11,5,8775.17,4,3,4,Champions
12452,17,1,350.57,4,1,2,New Customers
12453,134,1,707.09,2,1,3,Potential Loyalists
